scenario,run,http_code,dns,connect,tls,ttfb,total,size_bytes
baseline-full,1,200,0.003292,0.035937,0.118599,0.306661,0.306988,26525
baseline-full,2,200,0.002697,0.148625,0.224316,0.426416,0.427952,26525
baseline-full,3,200,0.003226,0.039140,0.205048,0.397417,0.397811,26525
baseline-full,4,200,0.003682,0.038805,0.106877,0.305894,0.306126,26525
baseline-full,5,200,0.002605,0.048274,0.129834,0.317046,0.317318,26525
